,bus_ch7,bus_ch11,bus_total,establishment_count,pd,logit_pd,t3m_rate,hy_oas,unemp_rate,wti_price,usd_twex,gdp_qoq_pct
2015-03-31,3986,1496,5482,9414823,0.0005822732939323447,-7.447988200365507,0.023333333333333334,4.683484848484849,5.7,73.21125,99.3125,
2015-06-30,4054,1474,5528,9470124,0.0005837304770243769,-7.445487292696034,0.02666666666666667,4.8865625,5.533333333333334,48.485245901639345,105.47301694915255,0.9004849775657187
2015-09-30,3973,1724,5697,9561224,0.0005958442140880707,-7.424935289024608,0.02,4.5996875,5.433333333333334,57.85460317460318,105.997159375,0.6194050867588619
2015-12-31,3840,1423,5263,9644927,0.0005456754623440903,-7.512940325853723,0.04,5.535757575757576,5.1000000000000005,46.48609375,109.626665625,0.4002450612528241
2016-03-31,3885,1596,5481,9601391,0.0005708547855201397,-7.467804678943746,0.12333333333333334,6.402424242424242,5.033333333333333,41.9365625,111.47422419354838,0.18447912646364362
2016-06-30,3760,1996,5756,9677672,0.0005947711391747932,-7.42673891836827,0.2866666666666667,7.6015625,4.8999999999999995,33.35180327868853,113.60903220338983,0.5795194060450148
2016-09-30,3639,1272,4911,9758568,0.0005032500670180297,-7.593919983534097,0.25666666666666665,6.328181818181818,4.933333333333334,45.460625,110.91595625,0.3211240684381167
2016-12-31,3697,1287,4984,9828841,0.0005070791154318195,-7.586336312606904,0.29666666666666663,5.3638805970149255,4.8999999999999995,44.851875,112.0512875,0.7093902550786346
2017-03-31,3604,1435,5039,9718391,0.0005185014679899173,-7.564049063137813,0.43,4.634615384615385,4.766666666666667,49.135555555555555,115.86304262295081,0.5542991127484687
2017-06-30,3759,1883,5642,9807791,0.0005752569564339208,-7.460118313753546,0.59,3.92125,4.566666666666666,51.62129032258064,116.46396229508197,0.48689021004175714
2017-09-30,3302,1348,4650,9871253,0.0004710648182150736,-7.660043679321256,0.89,3.7975384615384615,4.366666666666667,48.103809523809524,113.90348125,0.5598725623111145
2017-12-31,3457,1668,5125,9942980,0.0005154390333682659,-7.569975956570495,1.0366666666666668,3.7504545454545455,4.333333333333333,48.181774193548385,109.93858412698413,0.7885241305547019
2018-03-31,3355,1718,5073,9896099,0.000512626237874136,-7.575450801804143,1.2066666666666668,3.591846153846154,4.166666666666667,55.26587301587302,110.97474426229508,1.1270466267692791
2018-06-30,3514,1318,4832,9970715,0.0004846192073487207,-7.63166237822421,1.5599999999999998,3.5090625,4.033333333333333,62.90573770491803,107.99647,0.8134098018182323
2018-09-30,3315,1235,4550,10040113,0.0004531821504399403,-7.698763130331098,1.8399999999999999,3.4645454545454544,3.9333333333333336,68.06546875,110.617584375,0.5308251410129694
2018-12-31,3451,1782,5233,10137226,0.0005162161719586798,-7.568468592850877,2.0399999999999996,3.463030303030303,3.766666666666667,69.68730158730159,113.64831587301587,0.6236974253114314
